nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT03003468,A Phase Ib/II Study of Anti-PD-1 Antibody Pembrolizumab and Imprime PGG for Patients With Metastatic Non-small Cell Lung Cancer After Progression on First-Line Therapy: Big Ten Cancer Research Consortium BTCRC-LUN15-017,Imprime PGG,EGFR; ALK,"The primary efficacy endpoint, median Progression Free Survival (PFS), was 2.6 months (95% Confidence Interval: 1.4-7 months). The other primary endpoint was Maximum Tolerated Dose (MTD), which was determined to be Imprime PGG at 4mg/kg in combination with pembrolizumab 200mg.",UNCERTAIN,"The trial reported median Progression Free Survival (PFS) and its 95% Confidence Interval (CI) for the primary efficacy endpoint. However, no p-value was reported, and the rule 'CI crosses 1.0/0' is not directly applicable to a single-arm median PFS value to determine statistical significance. Without a p-value or a comparative hazard ratio/odds ratio, it is not possible to determine if the primary endpoint 'met significance' or 'failed' according to the provided criteria, despite results being reported."
NCT03003962,"A Phase III Randomized, Open-Label, Multi-Center Study of Durvalumab (MEDI4736) Versus Standard of Care (SoC) Platinum-Based Chemotherapy as First Line Treatment in Patients With PD-L1-High Expression Advanced Non Small-Cell Lung Cancer",Durvalumab,EGFR; ALK; PD-L1,"Durvalumab demonstrated a statistically significant improvement in overall survival (OS) compared to platinum-based chemotherapy in the overall PD-L1 high expression population (HR=0.84, 95% CI 0.706-0.989, p=0.037). However, OS was not significantly improved in the pre-specified LREM (low risk for early mortality) subpopulation (HR=0.96, 95% CI 0.793-1.151, p=0.628).",MIXED,"One primary endpoint (OS in the overall population) met statistical significance (p < 0.05 and CI not crossing 1.0), while the other primary endpoint (OS in the LREM subpopulation) did not (p >= 0.05 and CI crossing 1.0)."
NCT03004183,Phase II Window of Opportunity Trial of Stereotactic Body Radiation Therapy and In Situ Oncolytic Virus Therapy in Metastatic Triple Negative Breast Cancer and Metastatic Non-Small Cell Lung Cancer Followed by Pembrolizumab,ADV/HSV-tk; Valacyclovir; Pembrolizumab,EGFR; ALK,"The primary endpoint, Objective Response Rate (ORR), was 28.6% (8/28 patients: 2 Complete Response, 6 Partial Response) in the NSCLC cohort. No statistical significance (p-value) or comparison to a predefined target was reported.",UNCERTAIN,"The trial is a single-arm Phase II study for which the primary endpoint, Objective Response Rate (ORR), was reported with observed counts (28.6% for NSCLC) but no p-value, confidence interval, or pre-specified threshold to determine if the endpoint met statistical significance or clinical relevance."
NCT03014648,A Phase II Clinical Trial Evaluating the Efficacy of Atezolizumab in Advanced Non-small Cell Lung Cancer (NSCLC) in Patients Previously Treated With PD-1-directed Therapy,Atezolizumab,PD-L1,"The primary outcome, Best Overall Response (BOR), reported the following for atezolizumab in patients previously treated with anti-PD-1 therapy: In the CR/PR Cohort (n=7), 1 (14.3%) participant achieved Partial Response (PR), and 4 (57.1%) achieved Stable Disease (SD). In the SD Cohort (n=3), 0 participants achieved PR, and 1 (33.3%) achieved SD. In the PD Cohort (n=16), 1 (6.3%) participant achieved PR, and 5 (31.3%) achieved SD. No complete responses were reported across any cohort.",UNCERTAIN,"The provided data for the primary endpoint (Best Overall Response) consists of participant counts for different response categories across three cohorts. There are no statistical analyses (e.g., p-values, confidence intervals for response rates) reported to determine if the primary endpoint met statistical significance as defined in the instructions."
NCT03037385,"A Phase 1/2 Study of the Highly-selective RET Inhibitor, BLU-667, in Patients With Thyroid Cancer, Non-Small Cell Lung Cancer (NSCLC) and Other Advanced Solid Tumors",pralsetinib,EGFR; ALK; KRAS; ROS1,"The primary efficacy endpoint, Overall Response Rate (ORR), was evaluated for pralsetinib in RET-fusion positive NSCLC patients. In patients with prior platinum treatment, ORR was 63.1% (95% CI: 54.2-71.4%). In patients with no prior systemic or platinum treatment, ORR was 78.3% (95% CI: 69.2-85.7%).",POSITIVE,"Pralsetinib demonstrated significant clinical activity in RET-fusion positive NSCLC, with high overall response rates (63.1% and 78.3%) in both previously treated and treatment-naive populations, and corresponding 95% confidence intervals that indicate robust efficacy."
NCT03049618,"A Phase IIa Trial of sEphB4-HSA in Combination With Anti PD-1 Antibody (Pembrolizumab, MK3475) in Patients With Non-small Cell Lung and Head/Neck Cancer",Recombinant EphB4-HSA Fusion Protein; Pembrolizumab,EGFR; ALK; ROS1,"For the Non-Small Cell Lung Cancer Cohort, the Overall Response Rate (ORR) was 3 out of 17 participants (17.6%). No statistical analysis was performed for this primary endpoint to determine significance.",UNCERTAIN,"The primary endpoint, Overall Response Rate, explicitly states 'No statistical analysis is performed,' which prevents the determination of statistical significance (p < 0.05) or evaluation of confidence intervals crossing a null value, as required by the efficacy status definitions."
NCT03081689,Neo - Adjuvant Chemo / Immunotherapy for the Treatment of Resectable Stage IIIA Non Small Cell Lung Cancer (NSCLC): A Phase II Multicenter Exploratory Study,Nivolumab,EGFR; ALK,"The primary outcome, Progression Free Survival at 24 months, was 77.1% (95% Confidence Interval: 59.9%, 87.7%) for the single experimental arm.",UNCERTAIN,"This is a single-arm Phase II study. While results for the primary endpoint (24-month PFS) are reported, no p-value for statistical significance against a null hypothesis or a comparator arm is provided in the available data. Therefore, the criteria for 'POSITIVE' (p < 0.05) or 'NEGATIVE' (p >= 0.05) cannot be applied to determine efficacy status."
NCT03083808,A Phase II Trial of Chemotherapy Plus Pembrolizumab in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC) Previously Treated With PD-1 or PD-L1 Inhibitor: Big Ten Cancer Research Consortium BTCRC-LUN15-029,Pembrolizumab,EGFR; ALK; ROS1; PD-L1,"The primary endpoint, median Progression Free Survival (PFS), was 5.1 months (95% CI: 3.6 - 8 months) in patients previously treated with PD-1 or PD-L1 inhibitors.",UNCERTAIN,"This is a single-arm Phase II trial. While the median PFS and its 95% confidence interval are reported, the data does not provide a p-value for statistical significance against a null hypothesis or a comparative ratio (e.g., hazard ratio) with a confidence interval crossing 1.0. Therefore, the efficacy status cannot be determined based on the specified criteria (p < 0.05 or CI crossing 1.0/0)."
NCT03087760,Phase II Trial of Consolidation Pembrolizumab After Concurrent Chemotherapy and Proton Reirradiation for Thoracic Recurrences of Non-Small Cell Lung Cancer,Pembrolizumab,Unselected,"The primary endpoint, ""Number of Subjects With Progression Free Survival"" at 2 years, reported 6 out of 22 participants (27.3%) in the single arm.",UNCERTAIN,"This is a single-arm Phase II trial. While descriptive results for the primary endpoint are reported (6 out of 22 participants experienced progression-free survival), there is no comparative arm, p-value, or pre-defined success threshold provided in the data to determine if the outcome met statistical significance according to the defined criteria."
NCT03090737,"An Open-label, Single-arm Phase II Safety Study of Nivolumab in Participants With Advanced or Metastatic Non-small Cell Lung Cancer Who Have Progressed During or After Receiving at Least One Prior Systemic Regimen (CheckMate 907: CHECKpoint Pathway and nivoluMAb Clinical Trial Evaluation 907)",Nivolumab,Unselected,"The primary endpoint of this safety study reported 3 participants (2.3%) out of 129 experienced Grade 3-4 drug-related select adverse events, and 0 participants experienced Grade 5 events.",UNCERTAIN,"The primary endpoint of this study was safety (incidence of high-grade adverse events), not efficacy. Therefore, the primary endpoint cannot be assessed for efficacy significance (p < 0.05) as per the definitions provided. Efficacy outcomes (PFS, ORR, OS) were reported as secondary endpoints in a single-arm study, without statistical significance testing against a comparator arm."
NCT03117049,"A Multicenter, Randomized, Double-Blind Trial in Subjects With Non-Squamous Non-Small Cell Lung Cancer (TASUKI-52)",ONO-4538,EGFR; ALK,"The primary endpoint, Progression Free Survival (PFS) as assessed by the Independent Radiology Review Committee (IRRC), was significantly improved in the ONO-4538 group compared to the placebo group. The median PFS was 12.1 months (96.37% CI 9.8-14.0) for ONO-4538 vs 8.1 months (96.37% CI 7.0-8.5) for placebo, with a Hazard Ratio of 0.56 (96.37% CI 0.43-0.71) and a p-value of <0.0001.",POSITIVE,"The primary endpoint, Progression Free Survival, achieved statistical significance (p < 0.0001) and the Hazard Ratio's 96.37% Confidence Interval (0.43-0.71) did not cross 1.0, indicating a clear positive outcome for the experimental drug."
NCT03123783,A Study to Evaluate the Safety and Efficacy of the CD40 Agonistic Antibody APX005M Administered in Combination With Nivolumab in Subjects With Non-small Cell Lung Cancer and Subjects With Metastatic Melanoma,APX005M; Nivolumab,EGFR; ALK; ROS1; PD-L1,"The Phase 1b portion established the safety profile, with 0 dose-limiting toxicities (DLTs) observed and the maximum tolerated dose (MTD) not formally reached. In the Phase 2 efficacy analysis, the Objective Response Rate (ORR) in immunotherapy-naive NSCLC (Cohort 1) was 16.67% (90% CI: 8.57, 28.07) and in PD-1 refractory melanoma (Cohort 2) was 15.15% (90% CI: 6.17, 29.25). However, in both PD-1 refractory NSCLC cohorts (3A and 3B), the ORR was 0.00% (90% CI: 0.00, 22.09 and 0.00, 11.29 respectively), indicating no objective responses.",MIXED,"While the combination showed modest objective response rates (15-17%) in immunotherapy-naive NSCLC and PD-1 refractory melanoma, it demonstrated no objective responses (0% ORR) in the critical PD-1 refractory NSCLC cohorts (3A and 3B). The 90% confidence intervals for these NSCLC refractory cohorts included 0, indicating a clear lack of efficacy in these specific populations, leading to a 'MIXED' overall efficacy status."
NCT03132532,Phase II Trial of Standard Platinum Doublet Chemotherapy + Various Proton Beam Therapy (PBT) Doses in Order to Determine the Optimal Dose of PBT for Unresectable Stage 2/3 Non-Small Cell Lung Cancer,Proton Beam Radiation Therapy,Unselected,"The primary outcome measured was the proportion of participants with Progression-Free Survival (PFS). For Arm A (60 Gy PBT), the proportion was 0.6 (95% CI: 0.362-0.995). For Arm C (72 Gy PBT), the proportion was 0.429 (95% CI: 0.182-1.00). The trial specified using a Cox proportional hazards model to test for an overall dose effect and to compare PFS between 72 Gy and 60 Gy, with a one-sided p-value < 0.10 considered significant.",UNCERTAIN,"The provided data for the primary outcome (Proportion of Participants With Progression Free Survival) includes the proportions and 95% confidence intervals for each arm but does not report the p-value or hazard ratio for the comparison between the 60 Gy and 72 Gy doses, which was the specified method for determining significance. Therefore, it is impossible to assess if the primary endpoint met significance."
NCT03133546,A Randomised Phase II Trial of Osimertinib and Bevacizumab Versus Osimertinib Alone as Second-line Treatment in Stage IIIb-IVb NSCLC With Confirmed EGFRm and T790M,Bevacizumab,EGFR; T790M,"The primary endpoint, Progression-Free Survival (PFS), showed a median of 15.4 months (95% CI: 9.2-18) for Osimertinib plus Bevacizumab compared to 12.3 months (95% CI: 6.2-17.2) for Osimertinib alone. The Hazard Ratio (HR) for Osimertinib plus Bevacizumab versus Osimertinib alone was 0.96 (95% CI: 0.68-1.37), with a p-value of 0.84.",NEGATIVE,"The primary endpoint (PFS) did not demonstrate statistical significance (p=0.84 > 0.05), and the 95% confidence interval for the Hazard Ratio (0.68-1.37) crossed 1.0, indicating no significant benefit from adding Bevacizumab to Osimertinib."
NCT03137771,Maintenance Systemic Therapy Versus Local Consolidative Therapy (LCT) Plus Maintenance Systemic Therapy for Limited Metastatic Non-Small Cell Lung Cancer (NSCLC): A Randomized Phase II/III Trial,,EGFR; ALK,"The primary endpoint for Phase II, progression-free survival (PFS), did not show a statistically significant improvement with the addition of local consolidative therapy (LCT) compared to systemic maintenance therapy alone. The median PFS for LCT + systemic maintenance was 13.7 months vs. 11.1 months for systemic maintenance alone. The hazard ratio was 0.98 (95% CI: 0.68-1.40) with a p-value of 0.66. The pre-defined criterion for the study to proceed to Phase III (hazard ratio ≤ 0.83) was not met, and consequently, the Phase III component focusing on overall survival was not initiated.",NEGATIVE,"The Phase II primary endpoint (PFS) failed to meet statistical significance (p=0.66, which is > 0.05) and the 95% confidence interval for the Hazard Ratio (0.68-1.40) crossed 1.0, indicating no statistically significant benefit from LCT. The trial also did not meet the pre-specified criteria to proceed to the Phase III component."
NCT03141359,LCI-LUN-NSC-SBRT-001: Phase II Prospective Trial of Primary Lung Tumor Stereotactic Body Radiation Therapy Followed by Concurrent Mediastinal Chemoradiation and Adjuvant Immunotherapy for Locally-Advanced Non-Small Cell Lung Cancer,Durvalumab,Unselected,"The primary endpoint was the number of participants progression-free and surviving at 12 months. The observed 12-month progression-free survival rate was 0.627 (95% CI: 0.492, 0.750). The analysis aimed to test if the 1-year PFS was > 0.60, but the p-value was 0.388.",NEGATIVE,"The primary endpoint, 12-month progression-free survival, reported a p-value of 0.388. This p-value is greater than the typical significance threshold of 0.05 (and even greater than the stated one-sided alpha of 0.10), indicating that the null hypothesis (1-year PFS <= 0.60) could not be rejected and the primary endpoint did not meet statistical significance."
NCT03150875,"Efficacy and Safety Evaluation of IBI308 Versus Docetaxel in Patients With Advanced or Metastatic Squamous Cell Lung Cancer After Failure of First-line Platinum-based Therapy- a Randomized, Open-label, Multicenter, Parallel, Phase 3 Study (ORIENT-3)",IBI308,EGFR; ALK,"The primary endpoint, Overall Survival (OS), showed a median OS of 11.79 months (95% CI: 10.28, 15.27) for the IBI308 arm, compared to 8.25 months (95% CI: 6.47, 9.82) for the docetaxel arm.",POSITIVE,"The experimental drug IBI308 (Sintilimab) demonstrated a significantly longer median Overall Survival (11.79 months) compared to docetaxel (8.25 months), and the 95% confidence intervals for the two arms did not overlap (lower limit of IBI308 CI was 10.28, which is greater than the upper limit of docetaxel CI at 9.82), indicating the primary endpoint met statistical significance (p < 0.05)."
NCT03158129,Phase II Study of Induction Checkpoint Blockade for Untreated Stage I-IIIA Non-Small Cell Lung Cancers Amenable for Surgical Resection,Nivolumab; Ipilimumab,Unselected,"The primary endpoint, Major Pathologic Response (mPR), was reported as counts per arm: Arm A (nivolumab) had 5/23 (21.7%) mPR, Arm B (nivolumab + ipilimumab) had 8/21 (38.1%) mPR, Arm C (nivolumab + chemotherapy) had 7/22 (31.8%) mPR, and Arm D (nivolumab + ipilimumab + chemotherapy) had 11/22 (50.0%) mPR.",UNCERTAIN,"The trial reported the raw counts for the primary endpoint (Major Pathologic Response) in each arm, but no statistical analysis, p-values, or confidence intervals were provided to determine if the primary endpoint met significance (p < 0.05) or failed. Therefore, the efficacy status is uncertain based on the provided data."
NCT03164616,"A Phase III, Randomized, Multi-Center, Open-Label, Comparative Global Study to Determine the Efficacy of Durvalumab or Durvalumab and Tremelimumab in Combination With Platinum-Based Chemotherapy for First-Line Treatment in Patients With Metastatic Non Small-Cell Lung Cancer (NSCLC) (POSEIDON)",Durvalumab; Tremelimumab,PD-L1; EGFR; ALK,"The primary endpoint of Progression-Free Survival (PFS) for durvalumab + SoC chemotherapy versus SoC alone demonstrated a statistically significant improvement (HR=0.74, 95% CI 0.620-0.885, p=0.00093). However, the primary endpoint of Overall Survival (OS) for durvalumab + SoC chemotherapy versus SoC alone did not meet statistical significance (HR=0.86, 95% CI 0.724-1.016, p=0.07581).",MIXED,"One primary endpoint (PFS) achieved statistical significance (p < 0.05 and CI not crossing 1.0), while the other primary endpoint (OS) did not achieve statistical significance (p >= 0.05 and CI crossing 1.0)."
NCT03164772,A Phase 1/2 Study of Combination Immunotherapy and mRNA Vaccine in Subjects With Non-small Cell Lung Cancer (NSCLC),BI 1361849; Durvalumab; Tremelimumab,EGFR; ALK; ROS1,"The primary outcome measured was the Number of Subjects With Treatment-Emergent Adverse Events (TEAEs), which is a safety endpoint. No primary efficacy endpoints (e.g., PFS, OS, ORR) or their corresponding statistical significance (p-values or confidence intervals for efficacy measures) were reported.",UNCERTAIN,"The specified primary endpoint for this Phase 1/2 study was safety (Number of Subjects With Treatment-Emergent Adverse Events). No primary efficacy endpoint results, such as p-values or confidence intervals indicating statistical significance, were reported to assess the drug's efficacy."
NCT03190174,"A Phase 1/2 Study Using Nivolumab and ABI-009 for Advanced Sarcoma, Advanced Carcinoma Treated With PD1 Inhibitors, and Tumors With Genetic Mutations Sensitive to mTOR Inhibitors",Nivolumab; Nab-Rapamycin,Unselected,The primary endpoint was the Maximum Tolerated Dose (MTD) of ABI-009 in combination with nivolumab. The MTD was successfully determined to be 100 mg/m^2.,UNCERTAIN,"The primary endpoint was the Maximum Tolerated Dose (MTD), which is a dose-finding and safety outcome, not a direct efficacy endpoint. No p-values or confidence intervals for efficacy outcomes (primary or secondary) were reported, preventing a determination of 'POSITIVE', 'NEGATIVE', or 'MIXED' based on the provided criteria."
NCT03191786,"A Phase III, Open-Label, Multicenter, Randomized Study to Investigate the Efficacy and Safety of Atezolizumab Compared With Chemotherapy in Patients With Treatment Naïve Advanced or Recurrent (Stage IIIb Not Amenable for Multimodality Treatment) or Metastatic (Stage IV) Non-Small Cell Lung Cancer Who Are Deemed Unsuitable for Platinum-Containing Therapy",Atezolizumab,EGFR; ALK; PD-L1,"Atezolizumab showed a statistically significant improvement in Overall Survival (OS) compared to single-agent chemotherapy (HR 0.78; 95% CI: 0.63, 0.97; p=0.025). Median OS was 10.3 months for atezolizumab vs 9.2 months for chemotherapy.",POSITIVE,"The primary endpoint, Overall Survival, demonstrated a statistically significant improvement with atezolizumab (p=0.025) and the hazard ratio (0.78) with its 95% confidence interval (0.63, 0.97) indicated a benefit that did not cross 1.0."
NCT03195491,"An Open Label, Safety Study of Participants With Non-Small Cell Lung Cancer Receiving Second-Line Nivolumab Monotherapy in Asia",Nivolumab,PD-L1; EGFR; ALK,"The primary outcome of this study was the number of non-HBV participants experiencing high grade (Grade 3-5) treatment-related select adverse events, a safety endpoint. No efficacy primary endpoint was reported.",UNCERTAIN,"The primary endpoint of this study was a safety measure (Number of Non-HBV Participants Experiencing High Grade Treatment-Related Select Adverse Events). Efficacy was evaluated as secondary outcomes (OS, PFS, ORR), but the primary endpoint itself was not designed to assess efficacy. Therefore, efficacy status for the primary endpoint is 'UNCERTAIN' as no efficacy results are reported for it."
NCT03197467,Neoadjuvant Anti PD-1 Immunotherapy in Resectable Non-small Cell Lung Cancer [NEOMUN],Pembrolizumab,Unselected,"The trial was a single-arm study investigating neoadjuvant pembrolizumab in resectable NSCLC. Key primary outcomes included 100% compliance with protocol (29/29 participants), an objective response rate (CR+PR) of 21.4% (6/28 evaluable participants) by RECIST 1.1, and a major pathological response (Grade IIb/III) rate of 24.1% (7/29 participants). Median delta tumor size was -4.0 mm, and median delta PET activity was -1 SUV, indicating some tumor and metabolic regression.",UNCERTAIN,"This was a single-arm, descriptive study primarily reporting on compliance and response rates (objective and pathological), along with changes in tumor size and PET activity. No statistical p-values or comparisons to a control group are provided for the primary endpoints, which are necessary to determine if a primary endpoint met significance (p < 0.05) as per the defined criteria."
NCT03215706,"A Phase 3, Randomized Study of Nivolumab Plus Ipilimumab in Combination With Chemotherapy vs Chemotherapy Alone as First Line Therapy in Stage IV Non-Small Cell Lung Cancer",Ipilimumab; Nivolumab,PD-L1; EGFR; ALK,"The primary endpoint, Overall Survival (OS), showed a statistically significant improvement for the experimental arm (Nivolumab + Ipilimumab + Chemotherapy) with a Hazard Ratio of 0.69 (95% CI: 0.56, 0.86) and a p-value of 0.0006 compared to chemotherapy alone.",POSITIVE,"The primary endpoint, Overall Survival, met statistical significance with a p-value of 0.0006 and a Hazard Ratio of 0.69 (95% CI: 0.56, 0.86), indicating a clear benefit for the experimental treatment."
NCT03217071,"PembroX: Enhancing the Immunogenicity of Non-Small Cell Lung Cancer With Pembrolizumab +/- Stereotactic Radiotherapy Delivered in the Preoperative Window, A Randomized Phase II Study With Correlative Biomarkers",Pembrolizumab,Unselected,"The primary outcome 'Change in the Mean Number of Infiltrating Absolute CD3+ T Cells/ μm2' reported mean values of 2976.00007 for Pembrolizumab + Surgery and 3768.74373 for Pembrolizumab + Radiation + Surgery. The second primary outcome 'Percentage of Participants Achieving a Two-fold Increase CD3+ T Cells/μm2' reported 40% for Pembrolizumab + Surgery and 75% for Pembrolizumab + Radiation + Surgery. While the second arm exceeded the target of 40%, no statistical significance (e.g., p-value, confidence interval for difference) for either primary outcome was reported to assess if the endpoints were met with significance.",UNCERTAIN,The trial reported descriptive statistics for both primary endpoints (mean values and percentages) but did not provide p-values or confidence intervals for comparisons between groups or against a pre-defined threshold that would allow a determination of statistical significance (p < 0.05) for efficacy.
NCT03239340,"A Multicentre, Open-label, Single-arm, Molecular Profiling Study of Patients With EGFR Mutation-positive Locally Advanced or Metastatic NSCLC Treated With Osimertinib",Osimertinib,EGFR,"The primary outcome measured the proportion of patients with various genetic and proteomic markers at the point of disease progression after osimertinib treatment. Key findings included MET amplification (17.6%; 95% CI: 8.40, 30.87), CDKN2A/B loss (15.7%; 95% CI: 7.02, 28.59), and EGFR amplification (11.8%; 95% CI: 4.44, 23.87). Other resistance mutations like EGFR C797S were observed in 7% of patients (95% CI: 5.70, 26.26). This was a descriptive analysis of resistance mechanisms.",UNCERTAIN,"The primary endpoint focused on molecular profiling (proportion of genetic/proteomic markers at progression) in a single-arm study. This type of descriptive outcome does not involve a p-value to determine the statistical 'significance' of the drug's efficacy against a comparator or a pre-defined threshold. Therefore, the criteria for 'POSITIVE' or 'NEGATIVE' based on p-value or CI crossing 1.0/0 are not applicable to this primary endpoint."
NCT03242915,Phase II Study of Pembrolizumab in Combination With Platinum-based Chemotherapy in Nonsmall Cell Lung Cancer Patients With Targetable Genetic Alterations Previously Treated With Appropriate Targeted Agents With Progressive Disease,Pembrolizumab,EGFR; ALK; PD-L1,The objective response rate for Pembrolizumab plus chemotherapy was 46% (95% CI 27-67%) in EGFR-mutated NSCLC patients (N=26) and 29% (95% CI 4-71%) in ALK-rearranged NSCLC patients (N=7).,MIXED,"The primary endpoint (objective response rate) showed a strong signal of activity in the EGFR+ NSCLC cohort (RR 46%, 95% CI 27-67%). However, for the ALK+ NSCLC cohort, the signal was highly uncertain (RR 29%, 95% CI 4-71%) due to the very small sample size and wide confidence interval, which suggests a potentially weak or inconclusive benefit in this subgroup. This disparity leads to a mixed conclusion regarding overall efficacy across the primary outcome groups."
NCT03285321,Phase II Study of Consolidation Immunotherapy With Nivolumab and Ipilimumab or Nivolumab Alone Following Concurrent Chemoradiotherapy for Unresectable Stage IIIA/IIIB Non-small Cell Lung Cancer (NSCLC): BTCRC-LUN16-081,Nivolumab; Ipilimumab,Unselected,The 18-month Progression-Free Survival (PFS) rate was 65.5% (95% CI: 49.8-77.3) for the Nivolumab arm and 66.3% (95% CI: 56.3-74.5) for the Nivolumab plus Ipilimumab arm.,UNCERTAIN,No p-value or direct statistical comparison against a control arm or predefined threshold for the primary endpoint (18-month PFS) is provided to definitively determine if significance (p < 0.05) was met.
NCT03293680,"Survival, Quality of Life and Self-reported Outcomes of Elderly Patients With Advanced Non-small Cell Lung Cancer Treated With Pembrolizumab (MK-3475) in the First Line Setting",Pembrolizumab,EGFR; ALK; PD-L1,"The primary outcome was Overall Survival (OS). Median OS was 19.2 months (95% CI: 11.3, 25.5) in elderly patients with advanced NSCLC treated with pembrolizumab.",UNCERTAIN,"This is a single-arm study reporting descriptive statistics (median OS and its confidence interval). The input data does not provide a p-value for the primary endpoint or a comparative confidence interval (e.g., for a hazard ratio or difference) that would allow for classification as 'POSITIVE' or 'NEGATIVE' according to the strict criteria (p < 0.05 or CI crossing 1.0/0). Therefore, the efficacy status is 'UNCERTAIN'."
NCT03296163,"A Randomized, Multicenter, Multinational, Double-Blind Study to Assess the Efficacy and Safety of MB02 (Bevacizumab Biosimilar Drug) Versus Avastin® in Combination With Carboplatin and Paclitaxel for the Treatment of Subjects With Stage IIIB/IV Non-squamous Non-Small Cell Lung Cancer (NSCLC)",MB02 (Bevacizumab Biosimilar Drug),EGFR; ALK,"The primary endpoint, Objective Response Rate (ORR) at Week 18, successfully demonstrated equivalence between MB02 and EU-approved Avastin. The 90% confidence interval for the risk ratio (MB02/Avastin) was 0.780-1.060, falling within the predefined equivalence margin of 0.73-1.36. Similarly, the 90% confidence interval for the risk difference (MB02 - Avastin) was -10.51% to 2.47%, falling within the predefined equivalence margin of -12% to 12%.",POSITIVE,"The primary endpoint (ORR at Week 18) met its equivalence criteria. Both the 90% CI for the Risk Ratio (0.780-1.060) and the Risk Difference (-10.51% to 2.47%) were contained within their respective predefined equivalence margins [0.73, 1.36] and [-12%, 12%], indicating successful demonstration of equivalence."
NCT03313804,Priming Immunotherapy in Advanced Disease With Radiation,Nivolumab; Pembrolizumab; Atezolizumab,Unselected,The proportion of participants alive and without progression at 6 months post enrollment was 0.66 in the Immune Checkpoint Inhibitor + Radiation arm.,UNCERTAIN,"The primary outcome reports a single proportion (0.66) for the experimental arm without a comparator, p-value, or confidence interval, precluding assessment of statistical significance against a null hypothesis or a control."
NCT03329911,"A Multicenter, Randomized, Double Blind, Phase III Study of BAT1706 Versus EU Avastin® Plus Chemotherapy in Patients With Advanced Non Squamous Non Small Cell Lung Cancer",BAT1706,EGFR; ALK,"The primary endpoint was Overall Response Rate (ORR) at Week 18, with 145 responders out of 325 patients (44.62%) in the BAT1706 arm and 156 responders out of 326 patients (47.85%) in the EU Avastin® arm.",UNCERTAIN,"While raw response counts for the primary endpoint (ORR at Week 18) are provided, no statistical significance (p-value) or confidence intervals for the comparison between the experimental drug and comparator arm are reported. Therefore, it is uncertain if the primary endpoint met significance or non-inferiority criteria."
NCT03334617,"An Open-Label, Multi-Drug, Biomarker-Directed, Multi-Centre Phase II Umbrella Study in Patients With Non-Small Cell Lung Cancer, Who Progressed on an Anti-PD-1/PD-L1 Containing Therapy (HUDSON).",Olaparib; Danvatirsen; Ceralasertib; Vistusertib; Oleclumab; Trastuzumab deruxtecan; Cediranib,EGFR; ALK; ROS1; PD-L1,"This was an umbrella Phase II study with multiple experimental modules. The primary endpoint, Objective Response Rate (ORR), showed mixed results across the different cohorts. Several cohorts, including those testing Olaparib + Durvalumab (HRRm, LKB1, ACQ), Ceralasertib + Durvalumab (ATM, PRI, ACQ, C.10.240), Oleclumab + Durvalumab (CD73H, ACQ), Trastuzumab deruxtecan + Durvalumab (HER2e, HER2m), Cediranib + Durvalumab (ACQ), and Ceralasertib alone (C.11.240), demonstrated an ORR with an 80% confidence interval lower limit greater than zero, indicating a positive signal. However, other cohorts, such as Olaparib + Durvalumab (PRI), Danvatirsen + Durvalumab (PRI, ACQ), Oleclumab + Durvalumab (PRI), Ceralasertib alone (ATM), and Ceralasertib + Durvalumab (C.10.160), reported an ORR of 0% with the 80% confidence interval lower limit at 0, suggesting no detectable objective response. One module (Vistusertib + Durvalumab) was prematurely discontinued with insufficient data for efficacy analysis.",MIXED,"The trial is an umbrella study with numerous experimental arms/modules, each assessing a different novel agent or combination. While some modules showed promising objective response rates with lower 80% confidence intervals above zero, several other modules reported an ORR of 0% with the lower 80% confidence interval at 0, indicating a lack of efficacy signal. This variability across multiple primary endpoint analyses for different cohorts leads to a 'MIXED' efficacy status for the overall trial."
NCT03347838,PD-1 Immune Checkpoint Inhibition for the Reversal of Squamous Dysplasia in High Risk Current and Former Smokers With or Without a History of Lung Cancer,Nivolumab,Unselected,"The primary endpoint, 'Improvement in Endobronchial Histology,' assessed as a dichotomous response based on the 6-month change in the worst histologic classification score, showed an observed response rate of 0.526. The analysis reported a p-value of 0.03 (95% CI: 0.32, 1.0), which is statistically significant.",POSITIVE,"The primary endpoint's analysis reported a p-value of 0.03, which is less than the significance threshold of 0.05. The 95% confidence interval for the observed response rate (0.32-1.0) does not cross 0, rejecting the null hypothesis that the 6-month response rate is less than or equal to 0.3."
NCT03353675,A Phase II Study Evaluating the Efficacy and the Safety of First-line Chemotherapy Combined With TG4010 and Nivolumab in Patients With Advanced Non-squamous Non-Small Cell Lung Cancer (NSCLC),TG4010; Nivolumab,PD-L1; EGFR; ALK,"The primary endpoint, Objective Response Rate (ORR), was 32.5% (90% CI: 20.4 - 46.6%) in 40 evaluable participants.",POSITIVE,"The reported Objective Response Rate (ORR) of 32.5% with a 90% confidence interval of [20.4%, 46.6%] for the primary endpoint indicates a significant signal of clinical activity. The lower bound of the confidence interval is well above zero, suggesting the trial likely met its success criteria for a Phase II study, even without an explicit p-value being reported."
